Device,Dist_GW_m,SINR_dB,RxPower_dBm,SF,Pac_Env,Pac_Rec,PDR_%,Delay_ms
24,577.1163654474251,5.192998173180641,-108.8379016967388,9,42,25,45.964990865903204,205.86935085897096
25,221.0182516458782,17.69805569622673,-96.3328441736927,7,42,42,100.0,74.31459660493468
26,238.505367415161,16.70595515950879,-97.32494471041065,7,42,42,100.0,69.05731157153585
27,229.510716766015,17.20681079154062,-96.82408907837882,7,42,42,100.0,90.68684960301138
28,215.03535821211025,18.055603568191927,-95.97529630172751,7,42,42,100.0,109.54127988789685
29,328.4590260241485,12.536463847701327,-101.49443602221811,8,42,34,82.68231923850664,75.11140986746615
30,474.0256665677421,7.7568441420414445,-106.274055727878,9,42,24,58.78422071020722,340.52848739231587
31,401.05179392942387,9.934885970725617,-104.09601389919382,9,42,32,69.67442985362808,146.52476624907518
32,512.8326707027836,6.731629328537295,-107.29927054138214,9,42,19,53.658146642686475,177.5017124176835
33,611.3082892636343,4.44309132566913,-109.58780854425031,10,42,19,42.21545662834565,240.6143778112245
34,715.7843625599747,2.3874336806593135,-111.64346618926012,10,42,12,31.937168403296567,197.37810421335476
35,551.7329331727385,5.779032631322295,-108.25186723859714,9,42,23,48.895163156611474,193.06640995435146
36,747.350330639835,1.8251729400462722,-112.20572692987317,10,42,16,29.12586470023136,302.23079809183184
37,47.979034729161505,37.5993546801912,-76.43154518972824,7,42,42,100.0,84.80921887755997
38,676.2899234037333,3.1269123729653217,-110.90398749695412,10,42,18,35.63456186482661,232.48595374439
39,376.7271127699919,10.750093554556457,-103.28080631536298,8,42,30,73.75046777278229,149.43097374771025
40,169.84036507909858,21.129672429116482,-92.90122744080296,7,42,42,100.0,70.62412035688271
41,336.9468307351552,12.204058595122603,-101.82684127479683,8,42,35,81.02029297561302,74.93480195936803
42,449.94910528193594,8.435998093008592,-105.59490177691085,9,42,26,62.17999046504296,111.83020521054284
43,114.27698897858905,26.29213620365543,-87.738763666264,7,42,42,100.0,89.1147292843563
